participant_id,timestamp,age,sex,occupation,expertise,nationality,session,pair_id,comparison_type,distortion_type,video_a,video_b,chosen_side,chosen_level,response_ms
2ed49d74-0997-4b72-b496-caeb70891325,2026-09-15T21:40:19Z,18-24,Male,Researcher / Academic staff,Intermediate,South Asia,0450_front_kick,1210,reference_vs_distorted,param_quantization,single/0450_front_kick_param_quantization_moderate.mp4,single/0450_front_kick_reference.mp4,b,reference,4363
2ed49d74-0997-4b72-b496-caeb70891325,2026-09-15T21:40:25Z,18-24,Male,Researcher / Academic staff,Intermediate,South Asia,0450_front_kick,1246,reference_vs_mixed,joint_noise+vertex_quantization,single/0450_front_kick_reference.mp4,mixed/0450_front_kick_joint_noise+vertex_quantization_mild+mild.mp4,a,reference,3865
2ed49d74-0997-4b72-b496-caeb70891325,2026-09-15T21:40:29Z,18-24,Male,Researcher / Academic staff,Intermediate,South Asia,0450_front_kick,1216,reference_vs_distorted,mesh_decimation,single/0450_front_kick_reference.mp4,single/0450_front_kick_mesh_decimation_moderate.mp4,a,reference,3065
2ed49d74-0997-4b72-b496-caeb70891325,2026-09-15T21:40:35Z,18-24,Male,Researcher / Academic staff,Intermediate,South Asia,0450_front_kick,1241,adjacent_severity,motion_blur,single/0450_front_kick_motion_blur_moderate.mp4,single/0450_front_kick_motion_blur_severe.mp4,b,severe,4488
2ed49d74-0997-4b72-b496-caeb70891325,2026-09-15T21:40:39Z,18-24,Male,Researcher / Academic staff,Intermediate,South Asia,0450_front_kick,1214,reference_vs_distorted,vertex_quantization,single/0450_front_kick_vertex_quantization_severe.mp4,single/0450_front_kick_reference.mp4,b,reference,2676
2ed49d74-0997-4b72-b496-caeb70891325,2026-09-15T21:40:43Z,18-24,Male,Researcher / Academic staff,Intermediate,South Asia,0450_front_kick,1234,adjacent_severity,vertex_quantization,single/0450_front_kick_vertex_quantization_moderate.mp4,single/0450_front_kick_vertex_quantization_mild.mp4,b,mild,3452
2ed49d74-0997-4b72-b496-caeb70891325,2026-09-15T21:40:46Z,18-24,Male,Researcher / Academic staff,Intermediate,South Asia,0450_front_kick,1199,reference_vs_distorted,jitter,single/0450_front_kick_jitter_severe.mp4,single/0450_front_kick_reference.mp4,b,reference,1664
2ed49d74-0997-4b72-b496-caeb70891325,2026-09-15T21:40:54Z,18-24,Male,Researcher / Academic staff,Intermediate,South Asia,0450_front_kick,1228,adjacent_severity,frame_drop,single/0450_front_kick_frame_drop_mild.mp4,single/0450_front_kick_frame_drop_moderate.mp4,a,mild,7265
2ed49d74-0997-4b72-b496-caeb70891325,2026-09-15T21:41:05Z,18-24,Male,Researcher / Academic staff,Intermediate,South Asia,0450_front_kick,1219,reference_vs_distorted,texture_compression,single/0450_front_kick_reference.mp4,single/0450_front_kick_texture_compression_moderate.mp4,a,reference,9757
2ed49d74-0997-4b72-b496-caeb70891325,2026-09-15T21:41:23Z,18-24,Male,Researcher / Academic staff,Intermediate,South Asia,0450_front_kick,1206,reference_vs_distorted,smoothing,single/0450_front_kick_smoothing_mild.mp4,single/0450_front_kick_reference.mp4,a,mild,16740
9313e98e-a6da-46bd-84d5-b80ee9fa0311,2026-09-16T11:35:18Z,18-24,Female,Student,Intermediate,Europe,0450_pickup_box,1295,adjacent_severity,texture_compression,single/0450_pickup_box_texture_compression_mild.mp4,single/0450_pickup_box_texture_compression_moderate.mp4,b,moderate,31675,3,4
9313e98e-a6da-46bd-84d5-b80ee9fa0311,2026-09-16T11:35:30Z,18-24,Female,Student,Intermediate,Europe,0450_pickup_box,1259,reference_vs_distorted,joint_noise,single/0450_pickup_box_joint_noise_severe.mp4,single/0450_pickup_box_reference.mp4,b,reference,10211,1,4
3dc03969-f14d-4487-a6fe-95ad01cc6965,2026-09-16T11:35:38Z,18-24,Female,Student,Not an expert,South Asia,0150_bmlmovi_walk,575,reference_vs_distorted,joint_noise,single/0150_bmlmovi_walk_joint_noise_severe.mp4,single/0150_bmlmovi_walk_reference.mp4,b,reference,152416,2,4
9313e98e-a6da-46bd-84d5-b80ee9fa0311,2026-09-16T11:35:49Z,18-24,Female,Student,Intermediate,Europe,0450_pickup_box,1308,reference_vs_mixed,param_quantization+mesh_decimation,single/0450_pickup_box_reference.mp4,mixed/0450_pickup_box_param_quantization+mesh_decimation_severe+severe.mp4,a,reference,17652,4,1
3dc03969-f14d-4487-a6fe-95ad01cc6965,2026-09-16T11:36:03Z,18-24,Female,Student,Not an expert,South Asia,0150_bmlmovi_walk,590,reference_vs_distorted,mesh_decimation,single/0150_bmlmovi_walk_reference.mp4,single/0150_bmlmovi_walk_mesh_decimation_severe.mp4,a,reference,23817,4,2
9313e98e-a6da-46bd-84d5-b80ee9fa0311,2026-09-16T11:36:22Z,18-24,Female,Student,Intermediate,Europe,0450_pickup_box,1284,adjacent_severity,joint_noise,single/0450_pickup_box_joint_noise_moderate.mp4,single/0450_pickup_box_joint_noise_severe.mp4,a,moderate,31944,2,1
3dc03969-f14d-4487-a6fe-95ad01cc6965,2026-09-16T11:36:33Z,18-24,Female,Student,Not an expert,South Asia,0150_bmlmovi_walk,612,adjacent_severity,texture_compression,single/0150_bmlmovi_walk_texture_compression_moderate.mp4,single/0150_bmlmovi_walk_texture_compression_severe.mp4,b,severe,28243,4,4
9313e98e-a6da-46bd-84d5-b80ee9fa0311,2026-09-16T11:36:44Z,18-24,Female,Student,Intermediate,Europe,0450_pickup_box,1285,adjacent_severity,frame_drop,single/0450_pickup_box_frame_drop_mild.mp4,single/0450_pickup_box_frame_drop_moderate.mp4,a,mild,20182,4,3
9313e98e-a6da-46bd-84d5-b80ee9fa0311,2026-09-16T11:37:03Z,18-24,Female,Student,Intermediate,Europe,0450_pickup_box,1297,adjacent_severity,motion_blur,single/0450_pickup_box_motion_blur_mild.mp4,single/0450_pickup_box_motion_blur_moderate.mp4,a,mild,17228,3,2
cbecd20b-8614-49f3-9c7f-26388b895b68,2026-09-16T11:37:08Z,25-34,Female,Student,Basic,Europe,0150_front_kick,641,reference_vs_distorted,param_quantization,single/0150_front_kick_param_quantization_severe.mp4,single/0150_front_kick_reference.mp4,b,reference,14103,2,5
3dc03969-f14d-4487-a6fe-95ad01cc6965,2026-09-16T11:37:10Z,18-24,Female,Student,Not an expert,South Asia,0150_bmlmovi_walk,614,adjacent_severity,motion_blur,single/0150_bmlmovi_walk_motion_blur_moderate.mp4,single/0150_bmlmovi_walk_motion_blur_severe.mp4,a,moderate,35800,4,4
9313e98e-a6da-46bd-84d5-b80ee9fa0311,2026-09-16T11:37:13Z,18-24,Female,Student,Intermediate,Europe,0450_pickup_box,1291,adjacent_severity,vertex_quantization,single/0450_pickup_box_vertex_quantization_mild.mp4,single/0450_pickup_box_vertex_quantization_moderate.mp4,a,mild,9085,5,1
