trial_id,subject,clip,distortion_type,severity,asset_id
0,0000,walk,none,none,0000_walk_reference
1,0000,walk,jitter,mild,0000_walk_jitter_mild
2,0000,walk,jitter,moderate,0000_walk_jitter_moderate
3,0000,walk,jitter,severe,0000_walk_jitter_severe
4,0000,walk,joint_noise,mild,0000_walk_joint_noise_mild
5,0000,walk,joint_noise,moderate,0000_walk_joint_noise_moderate
6,0000,walk,joint_noise,severe,0000_walk_joint_noise_severe
7,0000,walk,frame_drop,mild,0000_walk_frame_drop_mild
8,0000,walk,frame_drop,moderate,0000_walk_frame_drop_moderate
9,0000,walk,frame_drop,severe,0000_walk_frame_drop_severe
10,0000,walk,smoothing,mild,0000_walk_smoothing_mild
11,0000,walk,smoothing,moderate,0000_walk_smoothing_moderate
12,0000,walk,smoothing,severe,0000_walk_smoothing_severe
13,0000,walk,param_quantization,mild,0000_walk_param_quantization_mild
14,0000,walk,param_quantization,moderate,0000_walk_param_quantization_moderate
15,0000,walk,param_quantization,severe,0000_walk_param_quantization_severe
16,0000,walk,vertex_quantization,mild,0000_walk_vertex_quantization_mild
17,0000,walk,vertex_quantization,moderate,0000_walk_vertex_quantization_moderate
18,0000,walk,vertex_quantization,severe,0000_walk_vertex_quantization_severe
19,0000,walk,mesh_decimation,mild,0000_walk_mesh_decimation_mild
20,0000,walk,mesh_decimation,moderate,0000_walk_mesh_decimation_moderate
21,0000,walk,mesh_decimation,severe,0000_walk_mesh_decimation_severe
22,0000,walk,texture_compression,mild,0000_walk_texture_compression_mild
23,0000,walk,texture_compression,moderate,0000_walk_texture_compression_moderate
24,0000,walk,texture_compression,severe,0000_walk_texture_compression_severe
25,0000,walk,jitter+texture_compression,mild+mild,0000_walk_jitter+texture_compression_mild+mild
26,0000,walk,jitter+texture_compression,severe+severe,0000_walk_jitter+texture_compression_severe+severe
27,0000,walk,frame_drop+mesh_decimation,mild+mild,0000_walk_frame_drop+mesh_decimation_mild+mild
28,0000,walk,frame_drop+mesh_decimation,severe+severe,0000_walk_frame_drop+mesh_decimation_severe+severe
29,0000,walk,joint_noise+vertex_quantization,mild+mild,0000_walk_joint_noise+vertex_quantization_mild+mild
30,0000,walk,joint_noise+vertex_quantization,severe+severe,0000_walk_joint_noise+vertex_quantization_severe+severe
31,0000,walk,smoothing+texture_compression,mild+mild,0000_walk_smoothing+texture_compression_mild+mild
32,0000,walk,smoothing+texture_compression,severe+severe,0000_walk_smoothing+texture_compression_severe+severe
33,0000,walk,param_quantization+mesh_decimation,mild+mild,0000_walk_param_quantization+mesh_decimation_mild+mild
34,0000,walk,param_quantization+mesh_decimation,severe+severe,0000_walk_param_quantization+mesh_decimation_severe+severe
35,0000,walk,jitter+vertex_quantization,mild+mild,0000_walk_jitter+vertex_quantization_mild+mild
36,0000,walk,jitter+vertex_quantization,severe+severe,0000_walk_jitter+vertex_quantization_severe+severe
