pair_id,subject,clip,comparison_type,distortion_type,video_a,video_b,level_a,level_b
0,0000,bmlmovi_walk,reference_vs_distorted,jitter,single/0000_bmlmovi_walk_reference.mp4,single/0000_bmlmovi_walk_jitter_mild.mp4,reference,mild
1,0000,bmlmovi_walk,reference_vs_distorted,jitter,single/0000_bmlmovi_walk_reference.mp4,single/0000_bmlmovi_walk_jitter_moderate.mp4,reference,moderate
2,0000,bmlmovi_walk,reference_vs_distorted,jitter,single/0000_bmlmovi_walk_jitter_severe.mp4,single/0000_bmlmovi_walk_reference.mp4,severe,reference
3,0000,bmlmovi_walk,reference_vs_distorted,joint_noise,single/0000_bmlmovi_walk_reference.mp4,single/0000_bmlmovi_walk_joint_noise_mild.mp4,reference,mild
4,0000,bmlmovi_walk,reference_vs_distorted,joint_noise,single/0000_bmlmovi_walk_joint_noise_moderate.mp4,single/0000_bmlmovi_walk_reference.mp4,moderate,reference
5,0000,bmlmovi_walk,reference_vs_distorted,joint_noise,single/0000_bmlmovi_walk_reference.mp4,single/0000_bmlmovi_walk_joint_noise_severe.mp4,reference,severe
6,0000,bmlmovi_walk,reference_vs_distorted,frame_drop,single/0000_bmlmovi_walk_reference.mp4,single/0000_bmlmovi_walk_frame_drop_mild.mp4,reference,mild
7,0000,bmlmovi_walk,reference_vs_distorted,frame_drop,single/0000_bmlmovi_walk_frame_drop_moderate.mp4,single/0000_bmlmovi_walk_reference.mp4,moderate,reference
8,0000,bmlmovi_walk,reference_vs_distorted,frame_drop,single/0000_bmlmovi_walk_reference.mp4,single/0000_bmlmovi_walk_frame_drop_severe.mp4,reference,severe
9,0000,bmlmovi_walk,reference_vs_distorted,smoothing,single/0000_bmlmovi_walk_reference.mp4,single/0000_bmlmovi_walk_smoothing_mild.mp4,reference,mild
10,0000,bmlmovi_walk,reference_vs_distorted,smoothing,single/0000_bmlmovi_walk_reference.mp4,single/0000_bmlmovi_walk_smoothing_moderate.mp4,reference,moderate
11,0000,bmlmovi_walk,reference_vs_distorted,smoothing,single/0000_bmlmovi_walk_reference.mp4,single/0000_bmlmovi_walk_smoothing_severe.mp4,reference,severe
